sample	read_num	uniq_num	unmap	rRNA	spikein	univec	pri_miRNA	lncRNA	mRNA	piRNA	snoRNA	snRNA	srpRNA	tRNA	tucpRNA	Y_RNA	intron_for	intron_rev	promoter_for	promoter_rev	enhancer_for	enhancer_rev	repeats_for	repeats_rev	passQC
SRR10080622	7026123	2732194	0.439098205368736	0.000235122556209164	0	0.000499137290935556	1.16707322089294e-05	0.0228152851864392	0.0272244024193713	0	5.6930401019168e-07	4.35517567796635e-05	3.23080025783779e-05	0	0.00211453741985445	5.6930401019168e-07	0.00795986634449753	0.266474412702425	0.0162036730640782	0.017566586864477	0.0548606962901162	0.133696350035432	0.00319279921515749	0.00797025614268352	TRUE
SRR10080623	8434220	3048500	0.501430600577172	0.000306845209159827	0	0.000256810943987707	4.14976132944125e-06	0.0279105833141654	0.0303262186663378	0	0	3.9244885715573e-05	4.10233548567621e-05	1.18564609412607e-07	0.00215088057935411	5.92823047063036e-07	0.0102871397710755	0.143509891845363	0.019591260365511	0.0205289878613553	0.0657910275046181	0.166812461614708	0.00230667447612227	0.00870548788151127	TRUE
SRR10080624	6416883	2698400	0.420744775929373	0.000173292858853746	0	0.000235628419592503	1.3246306656986e-05	0.0165349750026609	0.0494085679916558	0	4.67516705540681e-07	2.80510023324408e-05	2.4934224295503e-05	4.67516705540681e-07	0.00104552319249081	1.55838901846894e-07	0.00533467728802286	0.343435122628853	0.0103307166423324	0.0113824733908971	0.0381665054513227	0.0960692286270453	0.00135922690190861	0.00571196326939419	TRUE
SRR10080625	5e+06	1526415	0.4355534	0.2082664	0	0.0004866	3.8e-06	0.0578018	0.1670332	1.4e-06	3.8e-06	0.0001886	2.3e-05	4.36e-05	0.0033596	1.34e-05	0.0163474	0.018996	0.0077756	0.013102	0.0378282	0.0304602	0.0018022	0.0009098	TRUE
SRR10080626	6990498	2890560	0.446125726664967	0.00013575570724718	0	0.000310850528817832	1.54495430797634e-05	0.0179243309990218	0.0532611553568859	0	1.00135927368837e-06	4.43459106919135e-06	1.37329271820119e-05	0	0.00118103173765303	1.43051324812624e-07	0.00539661122855625	0.301671497509906	0.0139147454158488	0.0129723232879832	0.0423986960585641	0.0982360627240005	0.00124583398779314	0.00519061732082607	TRUE
SRR10080627	5e+06	466845	0.1500864	0.574924	0	9.88e-05	2e-07	0.0140774	0.2121694	0	6e-07	6.16e-05	2.8e-06	3.2e-06	0.0002552	2.8e-06	0.0136556	0.020772	0.000927	0.001914	0.0056434	0.0049662	0.0002882	0.0001512	TRUE
SRR10080628	8296806	3525923	0.426586447845111	9.43736662035969e-05	0	0.00021948205128576	1.03654346021831e-05	0.0206875995413175	0.062734985005073	0	4.8211323731084e-07	1.10886044581493e-05	3.18194736625154e-05	2.4105661865542e-07	0.0010887322181572	1.2052830932771e-07	0.00554936441806642	0.261069982834358	0.0132605245922346	0.0145128137261496	0.0494781967904275	0.136083813457854	0.00116912460047879	0.00741044204239559	TRUE
SRR10080629	7610940	2902702	0.464119149540004	0.000407177037264779	0	0.000297992100844311	1.35331509642699e-05	0.0236408380567972	0.0337570654873117	0	3.94169445561258e-07	2.45698954399851e-05	3.49496908397649e-05	0	0.00150953758668443	3.94169445561258e-07	0.00618149663510683	0.23290946978954	0.015238459375583	0.0159403437683125	0.0523602866400208	0.142855678799202	0.00214375622459249	0.00856490788260057	TRUE
SRR10080630	5009479	1946886	0.362858293247661	0.151485613573787	0	0.000170876053178384	2.59508024686799e-06	0.0760061076211718	0.286858773137885	3.99243114902767e-07	2.99432336177075e-06	0.000286057691827833	1.67682108259162e-05	2.63500455835826e-05	0.00175447386844021	2.6549667141034e-05	0.0175617065167855	0.0243426512018515	0.00519734686980423	0.0111678280316177	0.0311483489600416	0.0282274863314129	0.00191357224972896	0.000945208074532302	TRUE
SRR10080631	5e+06	346245	0.090984	0.7696998	0	8.66e-05	2e-07	0.0237368	0.0681346	2e-07	8.2e-06	0.0002886	2.2e-06	6.8e-06	0.000203	3.4e-06	0.0041754	0.0261972	0.0013404	0.0022806	0.0065118	0.0057788	0.000345	0.0002164	TRUE
