File Name	Project ID	Sample Type
TCGA-E2-A15M-01A-11R-A12C-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-E2-A15M-11A-22R-A12C-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-E2-A1BC-01A-11R-A12O-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-E2-A1BC-11A-32R-A12O-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-E2-A1IG-11A-22R-A143-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-E2-A1IG-01A-11R-A143-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-E2-A1L7-01A-11R-A143-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-E2-A1L7-11A-33R-A143-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-E2-A1LB-11A-22R-A143-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-E2-A1LB-01A-11R-A143-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-E2-A1LH-11A-22R-A14C-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-E2-A1LH-01A-11R-A14C-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-E2-A1LS-01A-12R-A156-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-E2-A1LS-11A-32R-A156-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-E9-A1N4-11A-33R-A14L-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-E9-A1N4-01A-11R-A14L-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-E9-A1N5-01A-11R-A14C-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-E9-A1N5-11A-41R-A14C-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-E9-A1N6-11A-32R-A143-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-E9-A1N6-01A-11R-A143-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-E9-A1N9-01A-11R-A14C-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-E9-A1N9-11A-71R-A14C-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-E9-A1NA-01A-11R-A143-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-E9-A1NA-11A-33R-A143-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-E9-A1ND-01A-11R-A143-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-E9-A1ND-11A-43R-A143-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-E9-A1NF-01A-11R-A14C-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-E9-A1NF-11A-73R-A14C-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-E9-A1NG-01A-21R-A14L-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-E9-A1NG-11A-52R-A14L-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-E9-A1R7-01A-11R-A14L-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-E9-A1R7-11A-42R-A14L-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-E9-A1RB-01A-11R-A156-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-E9-A1RB-11A-33R-A156-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-E9-A1RC-11A-33R-A156-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-E9-A1RC-01A-11R-A156-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-E9-A1RD-01A-11R-A156-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-E9-A1RD-11A-33R-A156-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-E9-A1RF-01A-11R-A156-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-E9-A1RF-11A-32R-A156-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-E9-A1RH-01A-21R-A168-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-E9-A1RH-11A-34R-A168-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-E9-A1RI-11A-41R-A168-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-E9-A1RI-01A-11R-A168-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-GI-A2C8-11A-22R-A16E-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-GI-A2C8-01A-11R-A16E-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-GI-A2C9-01A-11R-A21U-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-GI-A2C9-11A-22R-A21U-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
